PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2,1913,3476,4,9,1,0,5040,2002-02,42000
Residential,3190434000,1908 E WEBSTER PL,,3,3170,Rm or Rooming House,Frame,2,1897,1992,4,2,2,0,2880,2002-05,145000
Residential,3891722000,812 N 25TH ST,,4,3040,Rm or Rooming House,Frame,2,1907,2339,6,0,1,0,3185,2002-06,30000
Residential,3880628000,959 N 34TH ST,,4,2300,AP 1,Frame,2,1890,2329,4,4,1,0,5781,2002-10,66500
Residential,3880406000,3209 W WELLS ST,,4,2300,Mansion,Stone,2.5,1891,7450,2,7,6,0,15600,2002-11,150500
Residential,4689939000,2143 S 11TH ST,,12,4120,Duplex O/S,Frame,1.5,1906,2462,2,3,2,0,5075,2002-11,75000
Residential,3900518000,1116 N 13TH ST,,4,3040,Rm or Rooming House,Frame,1.5,1890,2372,6,2,2,0,7750,2002-12,35000
Residential,5330310000,3350 W RUSKIN ST,,11,4400,Cape Cod,Brick,1,1950,1149,1,3,1,0,4800,2003-06,75000
Residential,2090099100,4826 N 51ST BL,,1,1150,Cape Cod,Aluminum / Vinyl,1,1947,994,1,3,1,0,4200,2003-08,22000
Residential,1920011000,3706A W SHERIDAN AV,,1,1160,AP 1,Stucco,2,1905,2938,4,3,1,0,9480,2003-12,125000
Residential,1960104000,5545 N 12TH ST,,1,1220,Cape Cod,Brick,1,1951,1620,1,4,2,0,7800,2003-12,148500
Residential,5780032000,1504 W LEROY AV,,13,4660,Ranch,Brick,1,1956,986,1,3,1,0,10428,2003-12,105000
Residential,3600203000,1686 N ASTOR ST,,3,3240,Rm or Rooming House,Frame,2,1890,2360,8,1,2,0,4560,2004-05,125000
Residential,4590715000,1735 S 23RD ST,,8,4120,Cottage,Aluminum / Vinyl,1,1903,1156,1,2,1,0,2280,2004-07,29000
Residential,3881550100,2706 W STATE ST,,4,2300,AP 1,Frame,2,1895,3269,4,6,1,0,5668,2004-08,115000
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2,1899,3380,4,10,1,0,4520,2005-01,70000
Residential,3881805000,2813 W STATE ST,,4,2300,AP 1,Frame,2,1908,2775,4,4,1,0,4230,2005-03,50000
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2,1889,2796,8,0,2,1,6450,2005-03,109900
Residential,4270505000,627 S 6TH ST,,12,4020,Rm or Rooming House,Frame,2,1889,1930,6,1,2,0,2950,2005-04,55000
Residential,3651439000,3210 W JUNEAU AV,,4,2300,Rm or Rooming House,Frame,2,1913,2872,7,3,2,2,4200,2005-05,92000
Residential,5490037000,554 W HOWARD AV,,13,4620,AP 1,Brick,2,1949,2430,4,6,1,0,5400,2005-06,230000
Residential,3881807000,2825 W STATE ST,,4,2300,AP 1,Frame,2,1890,3243,4,8,1,0,4150,2005-09,77000
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2,1905,3346,4,4,1,0,4551,2005-09,110000
Residential,4320666000,1030 W MINERAL ST,,12,4040,Rm or Rooming House,Frame,2,1900,2679,7,7,2,0,3500,2005-12,97000
Residential,4310204000,1100 S 4TH ST,,12,4020,AP 1,Frame,2,1880,3459,4,8,1,0,3500,2006-01,180000
Residential,3200820000,1631 E BELLEVIEW PL,,3,3190,AP 1,Stucco,2,1895,3208,4,5,1,0,3252,2006-02,343100
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2,1956,1920,4,4,1,0,5250,2006-02,48000
Residential,3190406000,2565 N CRAMER ST,,3,3170,AP 1,Stucco,2,1916,2800,4,2,1,0,5080,2006-03,250000
Residential,3130309000,2823 N 2ND ST,,6,2930,Duplex O/S,Brick,2,1908,2646,2,6,2,0,6000,2006-05,124100
Residential,3881805000,2813 W STATE ST,,4,2300,Duplex O/S,Frame,2,1908,3466,2,6,4,0,4230,2006-06,176800
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2,1913,3476,4,9,1,0,5040,2006-06,104000
Residential,2480354000,4113 N 47TH ST,,7,1680,Cottage,Frame,1,1932,761,1,3,1,0,4680,2006-06,31100
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2,1905,3346,4,4,1,0,4551,2006-07,216000
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2,1899,4225,4,9,1,0,4520,2006-07,135000
Residential,4010200000,3421 W CLYBOURN ST,,4,2160,AP 1,Frame,2,1908,3380,4,4,1,0,5400,2006-08,122000
Residential,3890791000,2408 W HIGHLAND AV,,4,3040,Duplex O/S,Aluminum / Vinyl,2,1901,2898,2,6,4,0,3600,2006-08,160900
Residential,4590218000,1528 S 22ND ST,,8,4100,AP 1,Aluminum / Vinyl,2,1903,2880,4,6,1,0,4200,2006-08,128750
Residential,4340616000,917 S 24TH ST,,8,4050,AP 1,Aluminum / Vinyl,1.5,1892,2091,4,4,1,0,5600,2006-08,155000
Residential,3881609000,3011 W JUNEAU AV,,4,2300,AP 1,Frame,2,1901,2770,4,6,1,0,6160,2006-09,185000
Residential,2851404000,3353 N 24TH PL,,7,2960,AP 1,Frame,2,1913,2696,4,4,1,0,5504,2007-02,86900
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2,1889,2796,7,7,2,1,6450,2007-02,50000
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2,1956,1920,4,4,1,0,5250,2007-08,42500
Residential,50093000,9286 N BURBANK AV,,9,40,Colonial,Aluminum / Vinyl,2,2007,2237,1,4,2,1,11129,2007-08,257000
Residential,4351338000,2816 W NATIONAL AV,,8,4060,AP 1,Aluminum / Vinyl,2,1903,3552,4,7,1,0,5535,2007-09,155000
Residential,4351338000,2816 W NATIONAL AV,,8,4060,Duplex O/S,Frame,2,1903,3552,2,7,4,0,5418,2008-01,189000
Residential,1909765110,5529 W SILVER SPRING DR,,2,1140,Ranch,Frame,1,1962,1169,1,3,2,1,6351,2008-10,64000
Residential,2440062000,4242 N 17TH ST,,1,1620,Cape Cod,Stone,1,1938,1188,1,2,1,0,5838,2009-01,103000
Residential,2440054000,4315 N 17TH ST,,1,1620,Cape Cod,Aluminum / Vinyl,1,1951,1054,1,3,1,0,4797,2009-01,73450
Residential,2100815000,5037 N 51ST BL,,1,1140,Cape Cod,Aluminum / Vinyl,1,1950,998,1,3,1,0,5040,2009-01,90000
Residential,1920792000,5300 N 39TH ST,,1,1160,Cape Cod,Aluminum / Vinyl,1,1951,988,1,3,1,0,4800,2009-01,63300
Residential,1710621000,5615 N 38TH  ST,,1,900,Colonial,Aluminum / Vinyl,2,2004,1470,1,3,2,0,5945,2009-01,107500
Residential,2060871000,4957 N 24TH ST,,1,1340,Duplex N/S,Masonry / Frame,2,1949,2460,2,5,2,0,5400,2009-01,95000
Residential,2080017000,3721 W VILLARD AV,,1,1140,Residence O/S,Brick,1.5,1900,4507,1,5,1,1,6660,2009-01,129000
Residential,2500014000,4225 N 63RD ST,,2,1490,Cape Cod,Brick,1,1954,1456,1,3,1,1,5590,2009-01,120900
Residential,1770613000,8654-A W MEDFORD AV,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1962,1875,2,5,2,0,6000,2009-01,70000
Residential,1779933130,5680 N 86TH PL,,2,1020,Ranch,Aluminum / Vinyl,1,1966,1379,1,3,1,1,8190,2009-01,129900
Residential,2261134000,6700 W HOPE AV,,2,1490,Ranch,Brick,1,1962,1361,1,3,1,1,5750,2009-01,126500
Residential,2250697000,4756 N 69TH ST,,2,1480,Ranch,Brick,1,1964,1334,1,3,1,1,5544,2009-01,109000
Residential,2260803000,4467 N 67TH ST,,2,1490,Ranch,Brick,1,1962,1334,1,3,1,1,5250,2009-01,108000
Residential,2250065000,4509 N 73RD ST,,2,1480,Ranch,Brick,1,1959,1288,1,3,2,0,5400,2009-01,115000
Residential,1500601000,10213 W MILL RD,,2,820,Ranch,Frame,1,1970,1120,1,4,1,1,8040,2009-01,49000
Residential,1880099000,7321 W SHERIDAN AV,,2,1380,Ranch,Frame,1,1955,864,1,3,1,0,6500,2009-01,75000
Residential,2130624000,8311 W HERBERT AV,,2,1400,Ranch,Aluminum / Vinyl,1,1957,864,1,3,1,0,6000,2009-01,62500
Residential,3170272000,2845 N HACKETT AV,,3,3060,Colonial,Stucco,3,1894,3255,1,3,2,1,4800,2009-01,400000
Residential,3551201000,2114 N OAKLAND AV,,3,3190,Cottage,Frame,1,1910,977,1,3,1,0,4080,2009-01,137000
